PM6	15 years old group
PM6713	normal pancreas , chronic pancreatitis nor pancreatic cancer tissue samples 192435
PM6714	normal pancreas and chronic pancreatitis tissues
PM6715	normal pancreas or chronic pancreatitis
PM6716	normal pancreatic development and glucose homeostasis
PM6717	normal pap
PM6718	normal parathyroid gland
PM6731	normal placenta cluster
PM6738	normal plasma cells
PM6739	normal platelet counts
PM6740	normal plm
PM6745	normal pressure hydrocephalus
PM6746	normal primary breast epithelial preparations
PM6747	normal prion protein
PM6749	normal proliferative endometrium
PM6750	normal prostate
PM6751	normal prostate epithelial cells
PM6752	normal prostate tissue
PM6754	normal protein expression
PM6756	normal proteinuria group level
PM6759	normal pth
PM6760	normal pth levels
PM6765	normal reflexes
PM6767	normal renal parenchyma
PM6769	normal replicative senescence point
PM6770	normal rod function
PM6772	normal secondary sex characteristics
PM6773	normal semen analyses
PM6774	normal semen parameters
PM6777	normal serum albumin level
PM6779	normal serum beta glucuronidase enzyme activity
PM6781	normal sex differences
PM6783	normal sinus rhythm
PM6784	normal sized kidneys
PM6785	normal skeletal muscle
PM6791	normal speech
PM6792	normal speech discrimination
PM6793	normal sperm
PM6794	normal sperm head characteristics
PM6796	normal sperm parameters
PM6797	normal sperm patterns
PM6798	normal spermatogenesis
PM6802	normal squamous epithelium
PM6803	normal stature
PM6805	normal stem cells
PM6812	normal surrounding mucosa
PM6813	normal sweating
PM6814	normal synovial tissue
PM6815	normal synovium
PM6816	normal t cell numbers
PM6818	normal tau
PM6819	normal tau functions
PM6821	normal tension glaucoma
PM6823	normal thyroid
PM6824	normal thyroid hormone levels
PM6825	normal thyroid tissue
PM6826	normal till delivery
PM6828	normal tissue areas
PM6829	normal tissue complications
PM6834	normal tissue specimens
PM6837	normal tp53
PM6839	normal trophoblast elements
PM6840	normal tsc protein
PM6841	normal tympanic membrane
PM6843	normal urinary protein
PM6844	normal urothelium
PM6860	normal white blood cells
PM6861	normal wild type , abnormal wild type , normal albino and abnormal albino
PM6864	normal x chromosome
PM6865	normally grown male fetus
PM6867	normally simple squamous epithelium
PM6869	normocytic hypoplastic anemia
PM6870	not bony overgrowth
PM6872	not only male infertility
PM6874	noticeable abnormal behavior
PM6879	nuclear magnetic resonance determined lipoprotein abnormalities
PM6886	numerous red blood cells
PM6887	obesity , insulin resistance , glucose intolerance , abnormal lipids and hypertension
PM6895	oddd associated cx43 mutations
PM6898	offset variable
PM6899	oil red o positive lipid droplets
PM6905	one normal and one abnormal x chromosome
PM6906	one or more functional sperm tests
PM6907	open abdomen
PM6913	open chromatid and chromosome breaks
PM6916	open defect
PM6917	open eyelid
PM6918	open eyelids
PM6922	open lung biopsy
PM6923	open neural tube
PM6924	open neural tube defect
PM6925	open neural tube defect model
PM6926	open neural tube defects
PM6931	opposite breast
PM6938	optically clear cytoplasm
PM6945	osseous metaplasia
PM6946	other febrile disease , acute primary dengue and acute secondary dengue
PM6948	otherwise normal brain
PM6951	ovarian clear cell adenocarcinoma
PM6952	ovarian clear cell adenocarcinomas
PM6953	ovarian serous adenocarcinoma
PM6954	ovarian serous carcinoma cells
PM6956	overlapping lymphoma types
PM6959	ovoid neutrophil nuclei
PM6960	ovulation associated wound repair and/or inflammation
PM6962	oxidized low density lipoprotein
PM6965	p53 defective chronic lymphocytic leukemia
PM6968	packed red blood cell unit characteristics
PM6971	painful , tender and swollen joints
PM6973	pale abnormal white matter
PM6976	pancreatic acinar cell carcinoma
PM6977	papillary carcinoma
PM6981	papillary muscle infarction
PM6984	papillary rcc
PM6985	papillary renal cell carcinoma
PM6986	papillary renal cell tumors
PM6987	papillary serous eoc
PM6988	papillary thyroid cancer
PM6989	papillary thyroid carcinoma
PM6990	papillary thyroid carcinoma cell line
PM6991	papillary thyroid microcarcinoma
PM6992	parasitized red blood cells
PM6996	parenteral associated cholestasis
PM6997	parieto occipital or frontal white matter
PM6998	partial monosomy
PM7000	partial trisomy 9p
PM7001	partial trisomy or monosomy
PM7002	partially abnormal sperm
PM7004	partially functional protein
PM7007	participants chronic pain grade
PM7009	particular hypertrophic cardiomyopathy
PM7011	particularly osseous metaplasia
PM7014	passive hip flexion
PM7019	paternal uniparental disomy
PM7020	paternally derived partial trisomy
PM7021	pathological acidic reflux
PM7022	pathological angiogenesis
PM7023	pathological anxiety
PM7024	pathological bone formation
PM7025	pathological bone fractures
PM7026	pathological brain infarct volumes
PM7028	pathological ecd findings
PM7036	pathological livedo reticularis
PM7040	pathological prion protein
PM7041	pathological prp
PM7042	pathological q wave
PM7047	patient's dysplastic hip
PM7048	patient's left eye
PM7049	patient's right eye
PM7050	pax6 associated eye disease
PM7052	pediatric acute leukemia
PM7053	pediatric acute lymphoblastic leukemia
PM7054	pediatric onset multiple sclerosis
PM7055	pediatric papillary thyroid cancer
PM7062	periarticular soft tissue swelling
PM7063	periodic sharp wave patterns
PM7064	peripheral abdominal subcutaneous tissue
PM7070	peripheral arteriovenous malformations
PM7071	peripheral artery disease
PM7072	peripheral arthritis
PM7074	peripheral blood
PM7075	peripheral blood abnormalities
PM7080	peripheral blood b cell subsets
PM7086	peripheral blood complete remission
PM7087	peripheral blood cytopenias
PM7091	peripheral blood flow cytometry
PM7102	peripheral blood myeloid dendritic cells
PM7106	peripheral blood smear
PM7107	peripheral blood smear examination
PM7115	peripheral disease
PM7117	peripheral facial paralysis
PM7118	peripheral fat wasting
PM7120	peripheral ghrelin
PM7126	peripheral insulin action
PM7127	peripheral insulin sensitivity
PM7130	peripheral lung
PM7131	peripheral lung epithelial cell lines
PM7133	peripheral mass
PM7137	peripheral muscle weakness
PM7139	peripheral myelin proteins
PM7140	peripheral nerve
PM7141	peripheral nerve abnormalities
PM7142	peripheral nerve affliction
PM7143	peripheral nerve biopsy
PM7144	peripheral nerve biopsy 1011
PM7146	peripheral nerve damage
PM7148	peripheral nerve fiber defect
PM7149	peripheral nerve hyperexcitability
PM7155	peripheral nerve myelination
PM7156	peripheral nerve neuroma formation
PM7158	peripheral nerve sheath
PM7159	peripheral nerve system
PM7161	peripheral nerve tumors
PM7162	peripheral nervous system
PM7163	peripheral nervous system degeneration
PM7164	peripheral nervous system injuries and defects
PM7166	peripheral neuroectodermal tumor
PM7167	peripheral neurological defect
PM7168	peripheral neuropathy
PM7170	peripheral occlusive arteriopathy
PM7173	peripheral primitive neuroectodermal tumour
PM7174	peripheral pulmonary stenosis
PM7176	peripheral sensory and motor axon defects
PM7178	peripheral synovitis
PM7179	peripheral t cell lymphoma
PM7180	peripheral t cell neoplasm
PM7188	peripheral visual field defects
PM7190	peritumoral stroma
PM7191	periventricular nodular heterotopia
PM7192	periventricular white matter abnormalities
PM7193	periventricular white matter injury
PM7198	permanent growth arrest
PM7199	permanent human small cell lung cancer cell lines
PM7202	permanent neonatal diabetes
PM7203	permanent neutropenia
PM7208	permanent tooth enamel
PM7209	permanent vascular abnormalities
PM7210	permanent visual loss
PM7212	peroxisomal abnormal metabolism
PM7214	persistent abnormal gait
PM7216	persistent chronic lymphoedema
PM7217	persistent hyperplastic primary vitreous
PM7220	persistent mild neutrophilia
PM7221	persistent right aortic arch
PM7222	persistently abnormal psa
PM7223	persistently active disease
PM7224	persistently inactive group
PM7226	phenotypically abnormal t cell population
PM7227	philadelphia chromosome positive acute lymphoblastic leukemia
PM7228	philadelphia chromosome positive chronic granulocytic leukemia
PM7234	phosphorylated tau
PM7239	physically inactive diabetes patient
PM7242	pigmented basal cell carcinoma
PM7243	pigmented iris hamartomas
PM7248	pigmented skin abnormalities
PM7250	pilocytic and low grade diffuse astrocytomas
PM7252	pleomorphic adenoma
PM7253	pleomorphic adenoma cell systems
PM7254	pleomorphic adenoma cells
PM7255	pleomorphic adenoma gene
PM7256	pleomorphic adenomas
PM7257	pleomorphic liposarcoma
PM7258	pleomorphic lobular carcinoma
PM7261	pleomorphic osteosarcoma
PM7262	pleomorphic sarcoma
PM7264	pleomorphic xanthoastrocytoma
PM7265	pluripotent lineages and/or cell types
PM7273	polycystic kidney
PM7274	polycystic kidney and liver disease
PM7275	polycystic kidney disease
PM7276	polycystic kidney diseases
PM7277	polycystic kidneys
PM7278	polycystic kidneys and bone deformity
PM7279	polycystic kidneys and intrahepatic biliary dysgenesis
PM7280	polycystic liver disease
PM7281	polycystic ovarian disease
PM7282	polycystic ovarian syndrome
PM7283	polycystic ovaries
PM7284	polycystic ovaries and oligo amenorrhoea but normal androgen levels
PM7285	polycystic ovary
PM7286	polycystic ovary disease
PM7287	polycystic ovary syndrome
PM7290	polyunsaturated fatty acid
PM7291	polyunsaturated fatty acids
PM7293	population based female breast cancer patients
PM7294	porcine gastric slow wave activity
PM7296	portal hypertension
PM7297	positive hcv rna , abnormal liver tests and liver biopsy
PM7298	positive sharp waves and fibrillation potentials
PM7300	postburn hypertrophic scar tissue
PM7302	posterior semicircular canal
PM7304	posterior superior temporal sulcus
PM7305	posterolateral defect
PM7306	postmenopausal female breast cancer
PM7309	potential premature atherosclerosis
PM7312	pre b acute lymphoblastic leukemia
PM7314	pre term premature rupture
PM7315	preceding chronic lung disease
PM7317	preceding diarrhea
PM7321	precursor b acute lymphoblastic leukemia
PM7326	preexisting trabecular bone tissue
PM7328	premature aging
PM7329	premature aging and cancer prone werner and bloom syndromes
PM7330	premature aging syndrome
PM7331	premature aging syndromes
PM7332	premature aging werner syndrome gene
PM7335	premature atherosclerosis
PM7337	premature cardiovascular morbidity
PM7338	premature cell senescence/cancer predisposition
PM7340	premature chromatid condensation
PM7341	premature chromatid separation
PM7344	premature corneal endothelial cell
PM7345	premature coronary artery disease
PM7346	premature coronary atherosclerosis
PM7347	premature coronary disease
PM7353	premature menopause
PM7355	premature onset
PM7356	premature ovarian failure
PM7357	premature pubarche
PM7364	premature stop mutations
PM7365	premature synostosis
PM7375	present secondary repolarization abnormalities
PM7377	pressure overload induced left ventricular hypertrophy
PM7378	prevalent abnormal bowel function
PM7379	prevalent abnormal hemoglobin
PM7381	previous abnormal pap smear results
PM7382	previous abnormal pap test
PM7383	previous abnormal pap test result
PM7385	previous acute myocardial infarction and/or unstable angina pectoris
PM7392	previously undiagnosed abnormal glucose metabolism
PM7393	primarily hemorrhagic strokes
PM7395	primary anaplastic large cell lymphoma
PM7397	primary extrapulmonary clear cell sugar tumor
PM7399	primary intrathoracic soft tissue tumors
PM7400	primary lateral sclerosis
PM7401	primary open angle glaucoma
PM7403	primary subcutaneous primitive neuroectodermal tumor
PM7405	prinzmetal's variant angina
PM7406	prior abnormal glucose tolerance
PM7408	profound bilateral deafness
PM7413	progressive actin phosphorylation
PM7414	progressive age related macular degeneration like retinal lesions
PM7415	progressive aortic dilatation
PM7416	progressive aortic root dilatation
PM7418	progressive atrioventricular conduction defects and heart failure
PM7420	progressive autosomal dominant multisystem disease
PM7421	progressive axonal degeneration
PM7424	progressive bone marrow
PM7425	progressive bone marrow failure
PM7426	progressive brain atrophy
PM7428	progressive bulbar palsy
PM7429	progressive cardiac conduction defect
PM7430	progressive cerebellar atrophy
PM7433	progressive colorectal cancer
PM7434	progressive cortical cataract
PM7435	progressive cystic kidneys
PM7437	progressive degenerative muscle disease
PM7438	progressive diabetic nephropathy
PM7439	progressive diaphyseal dysplasia
PM7441	progressive distal axonal degeneration
PM7442	progressive dyspnea
PM7443	progressive dyspnoea and refractory respiratory failure
PM7444	progressive dystonia
PM7446	progressive eye defects
PM7448	progressive familial intrahepatic cholestasis
PM7449	progressive fibrosis
PM7450	progressive hearing impairment
PM7451	progressive heterotopic ossification
PM7452	progressive high frequency hearing loss
PM7453	progressive hoarseness
PM7454	progressive hydrocephalus
PM7455	progressive imbalance
PM7456	progressive insulin resistance
PM7457	progressive insulin resistance and pancreatic beta cell dysfunction
PM7459	progressive interstitial lung disease
PM7460	progressive joint destruction
PM7461	progressive kidney failure
PM7463	progressive leukodystrophy
PM7464	progressive liver disorders
PM7466	progressive lung disease
PM7467	progressive memory loss
PM7470	progressive mental retardation
PM7471	progressive microcephaly
PM7472	progressive motor impairment and motoneuron death
PM7473	progressive multifocal leukoencephalopathy
PM7474	progressive muscle weakness
PM7475	progressive muscle weakness and wasting
PM7476	progressive muscular atrophy
PM7477	progressive muscular wasting
PM7478	progressive myocardial fibrosis
PM7480	progressive neurodegeneration
PM7481	progressive neurodegenerative disease
PM7482	progressive neuron loss and disease
PM7483	progressive neuronal degeneration
PM7485	progressive optic neuropathy
PM7486	progressive osteolysis
PM7487	progressive pancytopenia
PM7488	progressive paralysis
PM7490	progressive prostate cancer
PM7491	progressive proximal symmetrical weakness
PM7492	progressive pseudorheumatoid dysplasia
PM7494	progressive renal insufficiency
PM7495	progressive respiratory failure
PM7496	progressive respiratory failure and early death
PM7497	progressive retinal degeneration
PM7498	progressive retinal dysplasia
PM7500	progressive sclerosis
PM7501	progressive scoliosis
PM7502	progressive spasticity
PM7504	progressive supranuclear palsy
PM7507	progressive tumour growth
PM7509	progressive vaccinia
PM7510	progressive vascular disease
PM7511	progressive vascular smooth muscle cell defects
PM7512	progressive visual field defects
PM7517	proliferative breast disease
PM7518	proliferative breast lesions
PM7519	proliferative colon cancer cells
PM7522	proliferative glomerulonephritis
PM7524	proliferative nephritis
PM7525	proliferative retinopathy
PM7526	prolonged obstructed labor
PM7528	prominent axon defect
PM7529	prominent brain malformation
PM7532	prominent corneal nerves
PM7539	prominent eyes
PM7540	prominent fatigue
PM7542	prominent forehead
PM7543	prominent forehead and pointed chin
PM7544	prominent heels
PM7545	prominent jaw
PM7546	prominent joints
PM7547	prominent metopic suture
PM7548	prominent mitotic activity
PM7550	prominent nasal bridge
PM7551	prominent nucleoli and abundant eosinophilic cytoplasm
PM7553	prominent oculomotor abnormalities
PM7555	prominent premaxilla
PM7557	prominent scalp veins
PM7558	prominent supraorbital ridges
PM7559	prominent systemic lymphadenopathy
PM7560	prominent trabeculations
PM7562	prominent tubular nose
PM7563	prominent venous skin pattern
PM7565	prostate abnormal growth
PM7566	protein
PM7567	protruding lips
PM7568	protruding tongue
PM7569	protruding vulva
PM7570	proximal deep vein thrombosis
PM7572	proximal long arm
PM7573	proximal renal tubular acidosis
PM7577	proximal tubular structural damage
PM7578	psp progressive supranuclear paralysis
PM7580	pubescent mouse mammary gland
PM7581	pulmonary arterial or inoperable chronic thromboembolic pulmonary hypertension
PM7583	pulmonary functional defect
PM7588	pure temporal lobe sclerosis
PM7590	putatively functional non bohr # 946 ; hemoglobin genes
PM7591	pyothorax associated lymphoma
PM7593	pyramidal signs
PM7596	pyramidal weakness
PM7597	qrs right axis deviation
PM7598	qualitative arm
PM7600	qualitative defect
PM7602	qualitative platelet abnormalities
PM7607	quantitative defect
PM7608	quantitative disease endophenotype
PM7609	quantitative ebv gene transcription
PM7612	quantitative immunochemical faecal occult blood screening test
PM7614	quantitative lipoprotein abnormalities
PM7616	quantitative sweat measurement
PM7618	quantitative type i collagen defect
PM7619	quantitative wt1 gene transcripts
PM7621	ra peripheral blood
PM7623	radio resistant dna synthesis assay
PM7627	ragged red fibers
PM7628	raised serum cea ; tumor associated trypsin  lrb  tat 1  rrb  inhibitor levels
PM7630	rapidly progressive central nervous system
PM7631	rapidly progressive peripheral nerve dysfunction
PM7632	rapidly progressive visual field defects
PM7637	rare male lethal x linked dominant syndrome
PM7638	rat polycystic kidney disease
PM7640	reactive peripheral sclerosis
PM7641	recent alcohol consumption
PM7644	recent antecedent hypoglycemia
PM7648	recent breast cancer incidence characteristics and trends
PM7667	recent onset inflammatory back pain
PM7668	recent onset psychosis
PM7671	recent previous pap status
PM7672	recent rabies emergence
PM7675	recent respiratory tract infection
PM7679	recent unstable angina
PM7680	recent unstable angina and/or acute myocardial infarction
PM7684	recessive dystrophic epidermolysis bullosa
PM7692	recurrent angina
PM7693	recurrent angina or myocardial infarction
PM7694	recurrent aphthous stomatitis
PM7695	recurrent aspiration
PM7697	recurrent bacterial and fungal infections
PM7698	recurrent bacterial infections
PM7699	recurrent breast cancer
PM7700	recurrent breast carcinoma patients
PM7701	recurrent cardiovascular event
PM7702	recurrent cardiovascular event or death
PM7703	recurrent cell lines specific genomic aberrations
PM7704	recurrent chromosome aberrations
PM7705	recurrent chromosome abnormality
PM7706	recurrent chromosome copy number abnormalities
PM7707	recurrent cough
PM7708	recurrent crc
PM7710	recurrent disease patients
PM7711	recurrent early onset depression
PM7712	recurrent epistaxis
PM7713	recurrent erosion syndrome
PM7716	recurrent fever
PM7717	recurrent fractures
PM7719	recurrent gist
PM7720	recurrent glioblastoma
PM7722	recurrent hypersomnia
PM7723	recurrent hyphema
PM7724	recurrent hypoglycaemia
PM7725	recurrent hypoglycaemia and acidosis
PM7726	recurrent infections
PM7727	recurrent infections , often with unusual pathogens ,
PM7729	recurrent iron deficiency
PM7730	recurrent ischemia
PM7733	recurrent low grade urothelial carcinoma
PM7735	recurrent massive hematemesis
PM7738	recurrent miscarriage
PM7740	recurrent myositis
PM7741	recurrent nephrolithiasis
PM7742	recurrent neural tube defects
PM7743	recurrent nf1 deletion
PM7744	recurrent otitis
PM7745	recurrent otitis media
PM7746	recurrent pancreatitis
PM7748	recurrent pneumonia
PM7749	recurrent pulmonary embolism
PM7754	recurrent respiratory tract infections
PM7755	recurrent seizures
PM7756	recurrent severe major depression
PM7757	recurrent sinopulmonary infections
PM7759	recurrent skin infections
PM7761	recurrent staphylococcal and candidal skin infections
PM7762	recurrent stillbirth
PM7763	recurrent stroke
PM7765	recurrent thrombosis
PM7768	recurrent upper abdominal pain
PM7769	recurrent upper and lower airways infections
PM7770	recurrent upper and lower respiratory infections
PM7771	recurrent urinary tract infections
PM7772	recurrent wheeze and/or cough
PM7773	recurrent wheezing
PM7774	recurrent wheezing episodes
PM7776	red blood cell # 916
PM7782	red blood cell progenitors
PM7789	red cell abnormalities
PM7790	red cell casts
PM7791	red cell characteristics
PM7792	red cell defect
PM7794	red cell indices
PM7812	reduced larval heart rate
PM7814	reduced male fertility
PM7815	reduced receptor associated tyrosine kinase activity
PM7816	reduced vertical mandibular ramus growth
PM7817	reduced white matter
PM7818	redundant sigmoid colon
PM7821	refractory chronic cough
PM7824	relapsed/refractory multiple myeloma
PM7825	relapsing multiple sclerosis
PM7826	relapsing remitting multiple sclerosis
PM7827	relapsing systemic inflammatory syndrome
PM7831	relatively mild growth defect
PM7832	relatively mild skeletal abnormalities
PM7842	renal clear cell carcinoma
PM7843	renal cystic disease
PM7844	renal tubular acidosis
PM7845	renal tubular acidosis and cerebral calcification
PM7846	renal tubular dysfunction
PM7849	repaired anomalous right coronary artery
PM7851	repeated transient ischemic attacks
PM7852	reperfused acute myocardial infarction
PM7854	repetitive behavior
PM7855	repetitive behavior symptomatology
PM7856	repetitive behaviors
PM7857	repetitive behaviors and abnormal movement patterns
PM7858	repetitive coughing
PM7859	repetitive involuntary movements
PM7860	repetitive joint loading
PM7863	repetitive nerve stimulation
PM7865	repetitive stereotyped behaviors
PM7867	repetitive wrist actions
PM7873	representative short axis slices
PM7875	resistant auditory hallucinations
PM7877	resistant depression
PM7880	resistant ocd
PM7881	resistant social anxiety disorder
PM7882	resistant tumor growth
PM7883	resistant unipolar depression
PM7884	resistant virus transmission
PM7887	resultant polycystic kidney disease
PM7890	resulting suppurative sinusitis
PM7891	retinal pigmented epithelium
PM7896	right adrenal gland
PM7901	right aortic arch
PM7902	right aortic arch and aberrant left subclavian artery
PM7904	right arm tremor
PM7906	right atrial and right ventricular dilatation
PM7907	right atrial endocardium
PM7908	right atrial isomerism complete atrioventricular septal defect
PM7909	right atrial myxoma
PM7910	right atrial paraganglioma
PM7911	right atrioventricular valve
PM7913	right atrium   gerbode defect
PM7918	right auditory cortex
PM7919	right axis
PM7920	right axis deviation
PM7921	right breast
PM7922	right breast lump
PM7923	right bundle branch block
PM7924	right c5 c6 intervertebral foramen
PM7927	right cerebral hemisphere
PM7928	right cervical lymph nodes
PM7932	right colon
PM7933	right colon primary cancer
PM7934	right column
PM7940	right coronary disease
PM7942	right cranial lung lobe
PM7943	right diaphragm
PM7944	right distal femur
PM7945	right distal ureter
PM7946	right ear
PM7948	right external ear malformation
PM7951	right eyelid coloboma
PM7956	right femoral head
PM7959	right forebrain
PM7961	right frontal and right occipital lobe
PM7962	right frontal cortex
PM7964	right frontal subcortical white matter
PM7967	right heart
PM7969	right heart catheterisation
PM7970	right heart dysfunction
PM7971	right heart dysfunction and lung perfusion defects
PM7972	right heart dysfunction and perfusion defect
PM7973	right heart enlargement
PM7974	right heart failure
PM7975	right heart hypertrophy
PM7977	right hemisphere damage
PM7978	right hemisphere stroke
PM7979	right hernia defect
PM7980	right hilar mass
PM7982	right hip
PM7983	right hip dysplasia
PM7984	right hip joint
PM7993	right inferior epigastric artery
PM7994	right inguinal hernia
PM7995	right internal iliac vein
PM7998	right ipl
PM8009	right lower lobe mass
PM8010	right lower lobe pulmonary artery
PM8016	right middle cerebral artery territory
PM8017	right middle fusiform gyrus
PM8018	right middle lobe syndrome
PM8022	right occipital lobe
PM8023	right ovary
PM8025	right parietal lobe
PM8029	right proximal tibia
PM8031	right pulmonary isomerism
PM8032	right pupil
PM8037	right sensorimotor cortex
PM8040	right side endocarditis
PM8041	right sided lateral rectus palsy
PM8042	right sided sporadic colon tumors
PM8044	right somatosensory cortex
PM8045	right sphenoid sinus
PM8048	right spontaneous pneumothorax vats
PM8050	right submandibular salivary gland
PM8052	right superior pulmonary vein
PM8054	right temporal lobe
PM8056	right testis
PM8061	right thoracotomy defect
PM8062	right thorax
PM8063	right thrombosis
PM8065	right tonsillar carcinoma
PM8066	right tympanic membrane
PM8067	right tympanostomy tube
PM8073	right upper pulmonary vein
PM8075	right upper quadrant pain
PM8077	right valsalva sinus
PM8078	right vein
PM8082	right ventricle dysfunction
PM8083	right ventricle outflow tract
PM8084	right ventricular
PM8085	right ventricular dilatation
PM8086	right ventricular end diastolic volume
PM8088	right ventricular endocardium
PM8089	right ventricular failure
PM8091	right ventricular hypertrophy
PM8092	right ventricular hypoplasia
PM8093	right ventricular infundibulum
PM8095	right ventricular origin
PM8096	right ventricular outflow tract
PM8097	right ventricular outflow tract obstruction
PM8098	right ventricular outflow tract obstruction and pulmonary insufficiency
PM8099	right ventricular volume
PM8100	right ventricular volume overload
PM8104	rigid gas permeable contact lens
PM8107	robust brain a #
PM8113	robust shh expression
PM8116	rodent peripheral mononeuropathy
PM8117	rotated ears
PM8123	rough skin
PM8129	ruffled border membrane
PM8130	ruffled border membrane formation
PM8132	rvd = right ventricular dysfunction
PM8134	salivary adenoid cystic carcinoma
PM8136	salt sensitive hypertension
PM8139	same severe outflow tract malformations
PM8141	sap = severe acute pancreatitis
PM8144	saturated fatty acid chains
PM8147	scanty basophilic cytoplasm
PM8148	scarred myocardium
PM8149	scirrhous gastric carcinoma
PM8150	secondary acute leukemia
PM8151	secondary acute leukemia and myelodysplastic syndrome
PM8152	secondary generalized seizure
PM8154	secondary mild aortic insufficiency
PM8155	secondary sexual characteristics , normal ovaries and a normal karyotype
PM8156	secondary soft tissue defect coverage procedures
PM8159	segmental aneuploidy
PM8165	segmental bone hypertrophy
PM8169	segmental progeria
PM8170	segmental severe granulomatous colitis
PM8171	selam 1 = soluble endothelial linked adhesion molecule
PM8174	self reported abnormal glucose n
PM8175	self reported abnormal vaginal discharge
PM8176	semicircular canal
PM8177	senescence associated heterochromatin foci
PM8178	senescent endometrium
PM8185	sensory peripheral nerve defects
PM8186	sepsis associated brain dysfunction
PM8191	serious chronic obstructive pulmonary disease
PM8194	serous cystadenoma
PM8195	serous otitis media
PM8196	serous ovarian tumor occurrence
PM8197	serous retinal detachment
PM8198	serrated adenomas
PM8199	serrated neoplasia pathway
PM8201	serum high density lipoprotein
PM8203	sessile serrated adenoma
PM8204	sessile serrated adenomas
PM8207	several peripheral nerve injury based rat models
PM8211	severe abnormal hepatic function
PM8213	severe acute cholecystitis
PM8214	severe acute hepatitis
PM8215	severe acute pancreatitis
PM8217	severe acute respiratory syndrome
PM8221	severe amyotrophy
PM8224	severe anxiety symptoms
PM8225	severe aortic regurgitation
PM8226	severe aortic stenosis
PM8227	severe apical perfusion defect
PM8228	severe aplastic anaemia
PM8230	severe ards patients
PM8231	severe arrhythmias
PM8233	severe articular cartilage erosion
PM8234	severe asthma
PM8235	severe asthma exacerbations
PM8236	severe asthma patients
PM8237	severe atp7b mutations
PM8238	severe attrition
PM8239	severe autoimmune disease
PM8240	severe autoimmune disorders
PM8241	severe axon defects
PM8243	severe beta globin defects
PM8244	severe bipolar disorder
PM8245	severe bleeding defect
PM8246	severe bmd reduction
PM8247	severe bone abnormalities and associated immunodeficiency
PM8248	severe bone defects
PM8249	severe bone disease
PM8251	severe bone malformation complex
PM8253	severe bowing
PM8255	severe brain abnormalities
PM8256	severe brain and ocular abnormalities
PM8257	severe brain atrophy
PM8258	severe brain but only mild posterior defects
PM8259	severe brain developmental defect
PM8260	severe brain malformation
PM8261	severe brain malformations
PM8263	severe brain patterning malformations
PM8267	severe caa
PM8268	severe cad
PM8269	severe caloric restriction most anorexia nervosa
PM8271	severe cardiac abnormalities
PM8272	severe cardiac anomalies
PM8273	severe cardiac defects
PM8274	severe cardiovascular abnormalities
PM8277	severe central nervous system
PM8278	severe cerebellar hypoplasia
PM8280	severe cerebral malformations
PM8282	severe chest pain
PM8284	severe chikungunya disease
PM8285	severe childhood autosomal recessive muscular dystrophy
PM8286	severe chondrodysplasia
PM8287	severe chorioretinal coloboma
PM8290	severe chronic obstructive pulmonary disease
PM8294	severe clotting defect
PM8296	severe cognitive deficit cluster
PM8299	severe combined immunodeficiency
PM8300	severe combined immunodeficiency syndrome
PM8302	severe congenital heart defect
PM8303	severe congenital heart defects
PM8304	severe congenital heart disease
PM8305	severe congenital neutropenia
PM8306	severe congenital onset with associated brain malformations
PM8308	severe constipation
PM8309	severe copd
PM8310	severe copd patients
PM8311	severe corneal opacities
PM8314	severe cough
PM8316	severe cystitis
PM8319	severe deformities and gait abnormalities
PM8321	severe dentin malformations
PM8322	severe depression
PM8323	severe developmental delay
PM8324	severe developmental disabilities
PM8325	severe diabetic nephropathy
PM8328	severe dilated cardiomyopathy
PM8330	severe disease 2425
PM8332	severe disease course
PM8336	severe disease outcomes
PM8340	severe dopaminergic neurodegeneration
PM8341	severe dwarfism
PM8342	severe dysmenorrhea
PM8343	severe early ohss
PM8345	severe emphysema
PM8346	severe encephalopathy
PM8347	severe eosinophilia
PM8348	severe epigastric pain
PM8350	severe exercise intolerance
PM8351	severe extrapyramidal symptoms
PM8352	severe eye disease
PM8353	severe eye disease and inflammatory skin disease
PM8354	severe eye patterning defects
PM8356	severe falciparum malaria
PM8357	severe fasting hypoglycemia
PM8359	severe feeding difficulties
PM8361	severe fibrosis
PM8363	severe follicular damage
PM8365	severe gastrointestinal dysmotility
PM8366	severe gestational hypertension
PM8367	severe gingivitis
PM8368	severe glomerular involvement and renal failure
PM8373	severe growth hormone deficiency
PM8374	severe growth restriction
PM8375	severe growth retardation
PM8376	severe growth retardation defects
PM8377	severe hashimoto's encephalopathy
PM8380	severe head shape defects
PM8382	severe headache
PM8383	severe headache or migraine
PM8384	severe headaches
PM8385	severe heart conduction abnormalities
PM8386	severe heart defects
PM8387	severe heart failure
PM8389	severe hemophilia a
PM8392	severe hepatitis b
PM8393	severe hepatomegaly
PM8394	severe hepatosplenomegaly
PM8395	severe hie
PM8396	severe hip
PM8397	severe human eye diseases
PM8398	severe hydrocephalus
PM8400	severe hyperbilirubinemia
PM8401	severe hypercholesterolemia
PM8402	severe hyperglycemia
PM8403	severe hyperhomocysteinemia
PM8404	severe hyperparathyroidism
PM8406	severe hyperthyroidism
PM8407	severe hypertriglyceridemia
PM8408	severe hypoglycemia
PM8409	severe hypokalemia
PM8410	severe hypokinesia
PM8411	severe hypoplastic lung malformation
PM8412	severe hypospadias
PM8415	severe hypothyroidism
